"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20241112_142946","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_142946","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_142946","m","mean",0.05
"SIM_my_test_sim_20241112_142946","area.m2","sd",0
"SIM_my_test_sim_20241112_142946","JL","sd",0
"SIM_my_test_sim_20241112_142946","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_142946","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_142946","IL","sd",0
"SIM_my_test_sim_20241112_142946","m","sd",0
"SIM_my_test_sim_20241112_142946","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_142946","trait.Ef","mean",0.590462255710736
"SIM_my_test_sim_20241112_142946","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20241112_142946","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_142946","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_142946","trait.Ef","sd",0.238528117553808
"SIM_my_test_sim_20241112_142946","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_142946","regional.RA","sd",0
"SIM_my_test_sim_20241112_142951","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_142951","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_142951","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_142951","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_142951","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_142951","W.r","fixed_value",10
"SIM_my_test_sim_20241112_142951","area.m2","mean",1
"SIM_my_test_sim_20241112_142951","JL","mean",20000
"SIM_my_test_sim_20241112_142951","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_142951","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_142951","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_142951","m","mean",0.05
"SIM_my_test_sim_20241112_142951","area.m2","sd",0
"SIM_my_test_sim_20241112_142951","JL","sd",0
"SIM_my_test_sim_20241112_142951","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_142951","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_142951","IL","sd",0
"SIM_my_test_sim_20241112_142951","m","sd",0
"SIM_my_test_sim_20241112_142951","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_142951","trait.Ef","mean",0.590462255710736
"SIM_my_test_sim_20241112_142951","trait.Ef.sd","mean",0.01
"SIM_my_test_sim_20241112_142951","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_142951","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_142951","trait.Ef","sd",0.238528117553808
"SIM_my_test_sim_20241112_142951","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_142951","regional.RA","sd",0
"SIM_my_test_sim_20241112_142956","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_142956","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_142956","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_142956","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_142956","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_142956","W.r","fixed_value",1000
"SIM_my_test_sim_20241112_142956","area.m2","mean",1
"SIM_my_test_sim_20241112_142956","JL","mean",20000
"SIM_my_test_sim_20241112_142956","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_142956","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_142956","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_142956","m","mean",0.05
"SIM_my_test_sim_20241112_142956","area.m2","sd",0
"SIM_my_test_sim_20241112_142956","JL","sd",0
"SIM_my_test_sim_20241112_142956","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_142956","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_142956","IL","sd",0
"SIM_my_test_sim_20241112_142956","m","sd",0
"SIM_my_test_sim_20241112_142956","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_142956","trait.Ef","mean",0.590462255710736
