"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Bradypus Linnaeus",-80.236944,-0.17,24.5564708709717,8.51031494140625,77.2829818725586,77.8878631591797,30.0638236999512,19.0519371032715,11.0118865966797,25.2841091156006,23.7961235046387,25.533763885498,23.7085266113281,747,181,6,107.655891418457,489,26,463,27
"Bradypus Linnaeus",-84.698318,10.503088,24.6450614929199,8.84187507629395,76.8892135620117,70.7932281494141,30.8137493133545,19.3142490386963,11.4995002746582,24.6684989929199,25.2491245269775,25.6209163665771,23.8391246795654,3321,413,78,44.2603721618652,1183,293,395,857
"Bradypus Linnaeus",-84.144225,9.38983,25.9888286590576,10.5179567337036,78.9335556030273,78.3810043334961,33.0526313781738,19.7275543212891,13.3250770568848,25.6376667022705,26.0813732147217,27.1011867523193,25.1406097412109,3065,483,30,63.5455589294434,1304,138,565,907
"Bradypus Linnaeus",-84.330772,10.373958,25.1857299804688,9.04187488555908,77.2100372314453,77.2736053466797,31.4812507629395,19.7705001831055,11.710750579834,25.3390827178955,25.8754577636719,26.2705421447754,24.3396663665771,3438,435,99,40.5331726074219,1194,375,502,869
"Bradypus Linnaeus",-47.049471,-22.909025,20.3229484558105,10.5357704162598,62.5416793823242,230.578002929688,27.7754993438721,10.9294996261597,16.8460006713867,22.7458343505859,17.3122081756592,22.8347091674805,17.3122081756592,1295,230,28,67.2428436279297,628,103,573,103
"Bradypus Linnaeus",-84.688718,10.519625,24.6450614929199,8.84187507629395,76.8892135620117,70.7932281494141,30.8137493133545,19.3142490386963,11.4995002746582,24.6684989929199,25.2491245269775,25.6209163665771,23.8391246795654,3321,413,78,44.2603721618652,1183,293,395,857
"Bradypus Linnaeus",-66.839969,10.493508,20.1286869049072,9.73066711425781,77.3902816772461,82.2966613769531,25.6814994812012,13.1079998016357,12.5734996795654,20.5200004577637,19.0573749542236,20.796459197998,18.9382076263428,1025,146,19,52.7052230834961,408,77,288,125
"Bradypus Linnaeus",-84.136988,9.392308,25.9888286590576,10.5179567337036,78.9335556030273,78.3810043334961,33.0526313781738,19.7275543212891,13.3250770568848,25.6376667022705,26.0813732147217,27.1011867523193,25.1406097412109,3065,483,30,63.5455589294434,1304,138,565,907
"Bradypus Linnaeus",-84.60225,10.470905,25.0493125915527,9.20162582397461,77.3099670410156,74.609260559082,31.4897499084473,19.5874996185303,11.902250289917,25.0088329315186,25.7425422668457,26.1044158935547,24.2365837097168,3458,435,93,43.7122001647949,1225,323,442,871
"Bradypus Linnaeus",-83.874694,9.2947,25.635082244873,10.6697177886963,79.1029510498047,75.3539428710938,32.7491073608398,19.2607135772705,13.4883937835693,25.2645835876465,25.7772331237793,26.72678565979,24.8275299072266,2919,450,34,61.856803894043,1219,139,536,883
"Bradypus Linnaeus",-84.186073,10.058087,20.0892505645752,9.95304203033447,79.9906921386719,61.8525733947754,26.7572498321533,14.3144998550415,12.4427499771118,19.8390827178955,20.0699996948242,20.955207824707,19.4236660003662,2500,401,24,70.7702407836914,1133,86,423,303
"Bradypus Linnaeus",-79.56102,8.992812,26.6388816833496,6.63992357254028,76.7349700927734,64.3931274414062,31.1290817260742,22.4760208129883,8.65306091308594,26.030101776123,26.9048461914062,27.5465126037598,25.978401184082,2270,366,18,64.4828872680664,980,76,355,876
"Bradypus Linnaeus",-79.549637,8.952678,26.6388816833496,6.63992357254028,76.7349700927734,64.3931274414062,31.1290817260742,22.4760208129883,8.65306091308594,26.030101776123,26.9048461914062,27.5465126037598,25.978401184082,2270,366,18,64.4828872680664,980,76,355,876
"Bradypus Linnaeus",-84.668655,10.351199,21.4144687652588,8.86031246185303,77.1720123291016,70.6510772705078,27.4899997711182,16.0087490081787,11.4812507629395,21.2520008087158,21.8987922668457,22.3483753204346,20.5897083282471,3424,402,85,40.3919830322266,1170,335,444,923
"Bradypus Linnaeus",-86.881427,15.645323,20.3672504425049,9.07820796966553,65.2299041748047,165.70231628418,27.3279991149902,13.4107503890991,13.9172487258911,20.2004585266113,20.3152923583984,22.1293334960938,18.1071662902832,1325,179,30,47.3840179443359,495,117,330,208
"Bradypus Linnaeus",-85.04607,10.704997,22.662281036377,8.57943725585938,75.8755340576172,69.8643417358398,28.6867504119873,17.3794994354248,11.3072509765625,22.5492916107178,23.1294174194336,23.5757083892822,21.8230419158936,3067,382,56,46.6819763183594,1115,237,343,793
"Bradypus Linnaeus",-82.257681,9.353429,25.9201641082764,6.88230466842651,81.0389022827148,52.4079551696777,29.9987659454346,21.5061721801758,8.49259376525879,26.3672828674316,25.3915634155273,26.4648151397705,25.150411605835,2779,328,118,29.7041263580322,867,414,733,586
"Bradypus Linnaeus",-84.469093,10.519441,25.9913120269775,8.74270820617676,76.0599365234375,76.4782943725586,32.1977500915527,20.7032508850098,11.494499206543,26.1128749847412,26.6674156188965,27.0757083892822,25.1418342590332,3314,436,82,44.1035461425781,1192,293,440,881
"Bradypus Linnaeus",-84.122085,9.399654,25.9888286590576,10.5179567337036,78.9335556030273,78.3810043334961,33.0526313781738,19.7275543212891,13.3250770568848,25.6376667022705,26.0813732147217,27.1011867523193,25.1406097412109,3065,483,30,63.5455589294434,1304,138,565,907
"Bradypus Linnaeus",-84.198825,9.467971,26.5736503601074,10.4214782714844,77.9689254760742,82.7368621826172,33.6464767456055,20.2802810668945,13.3661956787109,26.199764251709,26.690845489502,27.7384967803955,25.6699523925781,2697,428,23,66.5535888671875,1146,91,520,701
